id;cnc_nb;visa_nb;title;movie_type;has_ad;movie_public
393;1900019170;090856;JEANNOT ET JULIETTE;DRAME;;
394;1900019253;091220;LA TROISIEME LUNE;DRAME;;
395;1900019325;091651;UN OURS NOMME ARTHUR;COMEDIE;;
396;1900019340;091727;JOUR DE COLERE;THRILLER;;
397;1900019349;091757;ENQUETE SUR LA VILLE;THRILLER;;
398;1900019359;091803;VICTOR SCHOELCHER;DOCUMENTAIRE;;
399;1900019361;091808;LES ENFANTS DE LA POUSSIERE;DOCUMENTAIRE;;
400;1900019366;091825;TORTURE EXPRESS;DRAME;;
401;1900019382;091877;L' ORPHELINE AVEC EN PLUS UN BRAS EN MOINS;THRILLER;;TPA
402;1900019395;091940;POINT ZERO;SCIENCE FICTION;;
403;1900019433;092082;LA DONNEUSE 2EME EPISODE;XPORNO;;
404;1900019440;092117;LES DENTS DU VIEUX DRAGON;AVENTURES;;
405;1900019456;092172;GUEULES D'AMOUR;DRAME;;
406;1900019466;092247;OUT TO SEA;COMEDIE;;
407;1900019479;092279;LE MAITRE DU JEU;THRILLER;;
408;1900019572;092634;DE LA BOUCHE DES ENFANTS;DRAME;;
